Timestamp,ICAO,NotamKey,RunwayConfig,SuggestedImpact,FinalImpact,SuggestedSup,FinalSup,Action,NotamText
"2026-08-11T14:37:43","LKTB","A1238/26-LKTB","09:CAT1; 27:CAT1","C","","","","Removed suggested C","No
ILS RWY 27 111,500 MHZ U/S - MAINT"
"2026-08-12T11:04:01","LFPG","A3740/26-LFPG","08L:CAT3; 26R:CAT3; 08R:CAT3; 26L:CAT3; 09L:CAT3; 27R:CAT3; 09R:CAT3; 27L:CAT3","","M","","","Added M (no suggestion)","No
IMPLEMENTATION OF A NEW DEPARTURE SEQUENCING SYSTEM (GLD) : THE DEPARTURE SEQUENCING ALGORITHM AND TSAT CALCULATION ARE MODIFIED. RULES RELATED TO TOBT/EOBT MANAGEMENT AND SEQUENCE EXIT CONDITIONS (SEQOUT) ARE UPDATED. PLEASE REFER TO : WWW.CDMPARIS.NET WEBSITE FOR FURTHER INFORMATION"
"2026-08-12T11:07:14","LRTR","A3927/26-LRTR","11:CAT3; 29:CAT3","","M","","","Added M (no suggestion)","No
AIRCRAFT WITH WINGSPAN GREATER THAN 52M ARE TEMPORARILY PROHIBITED"
"2026-08-12T16:32:55","EFTU","A4374/26-EFTU","08:CAT1; 26:CAT1","C","","","","Removed suggested C","AUG 17 0900-1600, AUG 18-20 0530-1600, AUG 21 0530-0900
ILS RWY26 U/S DUE TO MAINT, DO NOT USE. FALSE INDICATIONS POSSIBLE. AVBL PN 30 MIN, CTC TEL +358 2415 4801"
"2026-08-12T16:32:55","EFTU","A4373/26-EFTU","08:CAT1; 26:CAT1","C","","","","Removed suggested C","AUG 11-13 0530-1600, AUG 14 0530-0900
ILS RWY26 U/S DUE TO MAINT, DO NOT USE. FALSE INDICATIONS POSSIBLE.  AVBL PN 30 MIN, CTC TEL +358 2415 4801"
"2026-08-12T16:33:22","EHAM","A1875/26-EHAM","04:none; 22:CAT1; 06:CAT3; 24:none; 09:none; 27:CAT3; 36R:CAT3; 18L:none; 36C:CAT3; 18C:CAT3; 36L:none; 18R:CAT3","C","","","","Removed suggested C","MON-FRI 0500-1400
ILS CAT II/III OPS RWY 27 NOT AVBL DUE TO CRANE PENETRATING OBSTACLE FREE ZONE. REF AIP AD 2 EHAM 13 IAC ILS CAT II AND III OR LOC RWY 27."
"2026-08-12T16:34:26","EYKA","A5312/26-EYKA","08:CAT1; 26:CAT2","D","","","","Removed suggested D","No
REF AIP EYKA AD 2.20 LOCAL AD REGULATIONS, PARAGRAPH 1 GENERAL  REGULATIONS, AMEND FIFTH SENTENCE TO READ AS FLW: EXEMPTIONS APPLY  TO SAR FLIGHTS, AIRCRAFT INVOLVED IN AN EMERGENCY SITUATION AND  GENERAL AVIATION FLIGHTS OPERATED BY AIRCRAFT BASED AT AIRPORTS  MANAGED BY LTOU AND HOLDING A PERMANENT PPR CODE."
"2026-08-12T16:34:31","EYVI","A5311/26-EYVI","01:CAT2; 19:CAT1","D","","","","Removed suggested D","No
REF AIP EYVI AD 2.20 LOCAL AD REGULATIONS, PARAGRAPH 1 GENERAL  REGULATIONS, AMEND FIFTH SENTENCE TO READ AS FLW: EXEMPTIONS APPLY  TO SAR FLIGHTS, AIRCRAFT INVOLVED IN AN EMERGENCY SITUATION AND  GENERAL AVIATION FLIGHTS OPERATED BY AIRCRAFT BASED AT AIRPORTS  MANAGED BY LTOU AND HOLDING A PERMANENT PPR CODE."
"2026-08-12T16:34:56","KBGR","A1941/26-KBGR","15:CAT3; 33:CAT1","","C","","","Added C (no suggestion)","No
NAV ILS RWY 15 CAT II NA"
"2026-08-12T16:37:02","LIPE","A4157/26-LIPE","12:CAT3; 30:CAT1","","","","Yes","Added SUP (no suggestion)","No
SUP S36/26 IN FORCE FROM 11 JUN 2026 TO 30 SEP 2026 BOLOGNA/BORGO PANIGALE (LIPE) AERODROME: PAVING WORKS ON GREEN GRASS SEPARATION ISLAND BETWEEN TWY TP AND TQ FITTINGS. CURRENT STATUS OF PHASES: - PHASE 1: NOT YET ACTIVATED - PHASE 2: COMPLETED"
"2026-08-12T16:37:21","LIPZ","A4168/26-LIPZ","04L:none; 22R:none; 04R:CAT3; 22L:none","","","","Yes","Added SUP (no suggestion)","No
APN TWY 'V' CLSD DUE TO WIP REF AIP SUP S17/26"
"2026-08-12T16:38:01","LROP","A4493/26-LROP","08L:CAT2; 26R:CAT1; 08R:CAT3; 26L:CAT1","","(ignored)","","","Added (ignored) (no suggestion)","No
TWY R CLSD BTN INT WITH RWY 08R AND HLD PSN R"
"2026-08-12T16:38:21","LTFM","B3196/26-LTFM","16L:none; 34R:none; 16R:CAT3; 34L:CAT3; 17L:CAT3; 35R:CAT3; 17R:none; 35L:none; 18:CAT3; 36:CAT3","","(ignored)","","","Added (ignored) (no suggestion)","No
RWY 17R/35L CLSD TO TFC DUE TO MAINT. RWY CROSSINGS SHALL BE COORDINATED"
"2026-08-12T16:38:23","LTFM","B3195/26-LTFM","16L:none; 34R:none; 16R:CAT3; 34L:CAT3; 17L:CAT3; 35R:CAT3; 17R:none; 35L:none; 18:CAT3; 36:CAT3","","(ignored)","","","Added (ignored) (no suggestion)","No
RWY 17L/35R CLSD TO TFC DUE TO MAINT. RWY CROSSINGS SHALL BE COORDINATED"
"2026-08-12T16:39:19","UACC","K2048/26-UACC","04:CAT3; 22:CAT3","A","(ignored)","","","Rejected (Ignored) auto-Keep suggested A","No
TWY D FM RWY 04/22 TO TWY P CLSD."
"2026-08-12T16:39:36","UCFM","A0142/26-UCFM","07:CAT2; 25:CAT2","","A","","","Added A (no suggestion)","AUG 31 0300-1400, SEP 01 0400-1600
AERODROME CLSD"
"2026-08-13T15:24:36","LIPZ","A4180/26-LIPZ","04L:none; 22R:none; 04R:CAT3; 22L:none","","","","Yes","Added SUP (no suggestion)","No
RWY 04R/22L AND RWY 04L/22R CLOSED DUE TO WIP REF AIP SUP S17/26"
"2026-08-13T15:25:01","LKTB","A1263/26-LKTB","09:CAT1; 27:CAT1","C","","","","Removed suggested C","No
ILS RWY 27 111,500 MHZ U/S - MAINT."
